Sample_ID	Sample_Plate	Sample_Well
H00028/99	MiSeq_Myeloid_2020_79	E04
H00029/99	MiSeq_Myeloid_2020_79	E05
H00030/99	MiSeq_Myeloid_2020_79	E06
H00031/99	MiSeq_Myeloid_2020_79	F01
H00032/99	MiSeq_Myeloid_2020_79	F02
H00033/99	MiSeq_Myeloid_2020_79	F03
H00034/99	MiSeq_Myeloid_2020_79	F04
H00035/99	MiSeq_Myeloid_2020_79	F05
H00036/99	MiSeq_Myeloid_2020_79	F06
H00037/99	MiSeq_Myeloid_2020_79	G01
H00038/99	MiSeq_Myeloid_2020_79	G02
H00039/99	MiSeq_Myeloid_2020_79	G03
H00040/99	MiSeq_Myeloid_2020_79	G04
H00041/99	MiSeq_Myeloid_2020_79	G05
H00042/99	MiSeq_Myeloid_2020_79	G06
H00043/99	MiSeq_Myeloid_2020_79	H01
H00044/99	MiSeq_Myeloid_2020_79	H02
H00045/99	MiSeq_Myeloid_2020_79	H03
H00046/99a	MiSeq_Myeloid_2020_79	H04
H00046/99b	MiSeq_Myeloid_2020_79	H05
H12345/16	MiSeq_Myeloid_2020_79	H06
